kernel,array_len,nb_bins,nb_repeat,rep,timing,check_status
histogram_cuda,16384,32768,10,4,2.783980e-04,1
histogram_cuda,16384,32768,10,5,3.012780e-04,1
histogram_cuda,16384,32768,10,6,2.183100e-04,1
histogram_cuda,16384,32768,10,7,2.996740e-04,1
histogram_cuda,16384,32768,10,8,3.115990e-04,1
histogram_cuda,16384,32768,10,9,3.068190e-04,1
histogram_cuda,16384,65536,10,0,6.801439e-02,1
histogram_cuda,16384,65536,10,1,4.000110e-04,1
histogram_cuda,16384,65536,10,2,3.956370e-04,1
histogram_cuda,16384,65536,10,3,3.907580e-04,1
histogram_cuda,16384,65536,10,4,3.950020e-04,1
histogram_cuda,16384,65536,10,5,3.876740e-04,1
histogram_cuda,16384,65536,10,6,3.975020e-04,1
histogram_cuda,16384,65536,10,7,3.745980e-04,1
histogram_cuda,16384,65536,10,8,3.731210e-04,1
histogram_cuda,16384,65536,10,9,3.751140e-04,1
histogram_cuda,16384,131072,10,0,6.824778e-02,1
histogram_cuda,16384,131072,10,1,6.009480e-04,1
histogram_cuda,16384,131072,10,2,5.893220e-04,1
histogram_cuda,16384,131072,10,3,5.899450e-04,1
histogram_cuda,16384,131072,10,4,5.906990e-04,1
histogram_cuda,16384,131072,10,5,5.764290e-04,1
histogram_cuda,16384,131072,10,6,5.900690e-04,1
histogram_cuda,16384,131072,10,7,5.856290e-04,1
histogram_cuda,16384,131072,10,8,5.792050e-04,1
histogram_cuda,16384,131072,10,9,5.773430e-04,1
histogram_cuda,32768,4096,10,0,7.818177e-02,0
histogram_cuda,32768,4096,10,1,1.445810e-04,0
histogram_cuda,32768,4096,10,2,2.693700e-04,0
histogram_cuda,32768,4096,10,3,1.718910e-04,0
